lemma,token,tag,morph,picto,picto_bw
oben,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\oben1.png,
ober,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\oben1.png,
obwohl,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\obwohl2.png,
oder,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\oder2.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\oder2SW.png
ohne,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\ohne.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\ohneSW.png
heran,,PTKVZ,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\ran_heran.png,
ran,,PTKVZ,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\ran_heran.png,
hinauf,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\raufSW.png,
rauf,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\raufSW.png,
recht,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\rechts1.png,
rechts,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\rechts1.png,
rückwärts,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\rueckwaerts.png,
herunter,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\runterSW.png,
runter,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\runterSW.png,
sämtlich,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\saemtliche.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\saemtlicheSW.png
bereits,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\schon.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\schonSW.png
schon,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\schon.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\schonSW.png
sehr,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\sehr.png,
seit,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\seit.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\seitSW.png
selbst,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\selbst.png,
so,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\so.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\soSW.png
sogar,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\sogar.png,
solch,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\solche.png,
sondern,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\sondern.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\sondernSW.png
sonst,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\sonst.png,
sowieso,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\sowieso.png,
sozusagen,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\sozusagen.png,
tatsächlich,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\tatsaechlich.png,
total,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\total.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\totalSW.png
dennoch,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\trotzdem2.png,
trotzdem,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\trotzdem2.png,
über,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\ueber.png,
überall,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\ueberall.png,
überhaupt,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\ueberhauptSW.png,
übrigens,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\uebrigens.png,
herum,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\umherum.png,
um,,APPR,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\umherum.png,
und,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\und2.png,
ungern,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\ungern.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\ungernSW.png
unten,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\unten1.png,
unter,,ADJA,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\unten1.png,
unter,,APPR,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\unter.png,
unterwegs,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\unterwegs.png,
viel,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\viel2.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\viel2SW.png
vielleicht,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\vielleicht.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\vielleichtSW.png
vom,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\vom.png,
von,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\von.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\vonSW.png
vor,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\vor.png,
vorbei,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\vorbei.png,
vorher,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\vorher.png,
vorn,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\vorn1.png,
vorne,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\vorn1.png,
vorwärts,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\vorwaerts.png,
während,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\waehrend.png,
weder,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\weder.png,
weg,,PTKVZ,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\weg3.png,
weg,,ADV,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\weg3.png,
wegen,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\wegen.png,
weil,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\weil.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\weilSW.png
wissen nicht,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\weissnicht2.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\weissnicht2SW.png
wenigstens,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\wenigstens.png,
wenn,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\wenn.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\wennSW.png
wieder,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\wieder.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\wiederSW.png
zurück,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\wieder.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\wiederSW.png
übervoll,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\zu_viel.png,
zu viel,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\zu_viel.png,
zum,,APPRART,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\zum.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\zumSW.png
zur,,APPRART,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\zur.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\zurSW.png
zwischen,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Kleine_Worte\zwischen.png,
Haargummi,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Koerperpflege\haargummi.png,
Hornhautraspel,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Koerperpflege\hornhautraspel.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Koerperpflege\hornhautraspelSW.png
Hygienebeutel,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Koerperpflege\hygienebeutel.png,
nasenbohren,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Koerperpflege\nasebohrenpopeln.png,
popeln,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Koerperpflege\nasebohrenpopeln.png,
ach,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\ach.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\achSW.png
achso,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\achso.png,
Achtung,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\achtung.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\achtungSW.png
auf Wiedersehen,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\aufwiedersehen.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\aufwiedersehenSW.png
bis gleich,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\bisgleich.png,
bis morgen,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\bismorgen.png,
boah,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\boah.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\boahSW.png
brauchen Hilfe,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\brauchehilfe.png,
brauchen kein Hilfe,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\brauchekeinehilfe.png,
buh,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\buh.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\buhSW.png
ciao,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\ciao.png,
haben ein Vogel,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\derdiehatvogel.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\derdiehatvogelSW.png
spinnen,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\derdiespinnt.png,
haben Knall,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\derhatknall.png,
sein an der Reihe,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\dubistdran.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\dubistdranSW.png
sein dran,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\dubistdran.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\dubistdranSW.png
eh,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\eh_sowiesoohnehin.png,
ohnehin,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\eh_sowiesoohnehin.png,
sein einer Meinung,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\einermeinungsein.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\einermeinungseinSW.png
sein sich einig,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\einermeinungsein.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\einermeinungseinSW.png
sein der gleich Meinung,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\einermeinungsein.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\einermeinungseinSW.png
entschuldigen,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\entschuldigungFB.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\entschuldigung.png
Entschuldigung,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\entschuldigungFB.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\entschuldigung.png
es ist,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\esist.png,
es reicht,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\esreicht.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\esreichtSW.png
reichen,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\esreicht.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\esreichtSW.png
ey,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\ey.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\eySW.png
falsch verstehen,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\falschverstanden2.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\falschverstandenSW.png
glauben ich nicht,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\glaubenicht_sowaresnicht.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\glaubenicht_sowaresnichtSW.png
gleichfalls,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\gleichfallsSW.png,
hallo,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\hallo2.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\hallo.png
hi,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\hi.png,
ich auch,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\ichauchFB.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\ichauch.png
möchten,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\ichmoechtemaedchen.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\ichmoechte1.png
möchten nicht,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\ichmoechtenichtFB.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\ichmoechtenicht.png
wissen,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\ichweisses.png,
igitt,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\igitteklig_floskel.png,
Jammerlappen,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\jammerlappen.png,
klingen wie,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\klingtwie.png,
Knallerbse,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\knallerbse.png,
in Ruhe,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\lassmichinruhe2FB.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\lassmichinruhe.png
mmh,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\mmh.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\mmhSW.png
moin,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\moin.png,
Motzgurke,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\motzgurke.png,
müssen gehen,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\musslos.png,
müssen los,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\musslos.png,
nicht OK,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\nichtok2.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\nichtok2SW.png
nicht okay,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\nichtok2.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\nichtok2SW.png
oh,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\oh.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\ohSW.png
oha,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\oha.png,
oje,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\oje.png,
sehr geehrt,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\sehrgeehrte.png,
sorry,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\sorry.png,
Stinksocke,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\stinksocke.png,
tschüss,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\tschuess2.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\tschuess.png
leidtun,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\tutmirleid_leidtun.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\tutmirleid_leidtunSW.png
ups,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\ups.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\upsSW.png
verdammt,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\verdammt.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\verdammtSW.png
Warmduscher,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\warmduscher.png,
wehe,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\wehe.png,
Weichei,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\weichei.png,
willkommen,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\willkommen.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\willkommenSW.png
wow,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\wow.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\wowSW.png
yeah,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Konversation_Interaktion\yeah.png,
Apfelhälfte,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Lebensmittel_Essen\apfelhaelfte.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Lebensmittel_Essen\apfelhaelfteSW.png
bio,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Lebensmittel_Essen\bio2.png,
Chicken Nuggets,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Lebensmittel_Essen\chickennuggets.png,
Chicken-Nuggets,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Lebensmittel_Essen\chickennuggets.png,
Donut,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Lebensmittel_Essen\donut.png,
Stracciatella,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Lebensmittel_Essen\eisstracciatella.png,
Cornet,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Lebensmittel_Essen\eistuete.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Lebensmittel_Essen\eistueteSW.png
Eistüte,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Lebensmittel_Essen\eistuete.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Lebensmittel_Essen\eistueteSW.png
Eiswaffel,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Lebensmittel_Essen\eiswaffel.png,
Fruchtzwerg,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Lebensmittel_Essen\fruchtzwerg.png,
Gemüsebratling,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Lebensmittel_Essen\gemuesebratling.png,
Hackbällchen,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Lebensmittel_Essen\hackfleischbaellchen.png,
Hackfleischbällchen,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Lebensmittel_Essen\hackfleischbaellchen.png,
halal,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Lebensmittel_Essen\halalSW.png,
Hummus,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Lebensmittel_Essen\hummus.png,
Lebkuchenmann,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Lebensmittel_Essen\lebkuchenmann.png,
Milchschnitte,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Lebensmittel_Essen\milchschnitte.png,
Pomelo,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Lebensmittel_Essen\pomelo.png,
Rahmfestiger,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Lebensmittel_Essen\sahnesteif.png,
Sahnesteif,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Lebensmittel_Essen\sahnesteif.png,
Stieleis,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Lebensmittel_Essen\stieleis1.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Lebensmittel_Essen\stieleis1SW.png
Tortellini,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Lebensmittel_Essen\tortellini.png,
Apfelschorle,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Lebensmittel_Trinken\apfelschorle.png,
Schorle,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Lebensmittel_Trinken\apfelschorle.png,
Boomwhacker,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Musik\Boomwhacker2.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Musik\Boomwhacker2SW.png
Djembe,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Musik\djembe.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Musik\djembeSW.png
Klangstab,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Musik\klangstab.png,
Beschwerdebriefkasten,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Politik\beschwerdebriefkasten.png,
Brexit,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Politik\brexit.png,
ander,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\andere_anderer_anderes.png,
dein,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\dein.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\deinSW.png
,dein,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\dein.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\deinSW.png
,deine,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\dein.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\deinSW.png
,deinen,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\dein.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\deinSW.png
,deiner,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\dein.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\deinSW.png
,deines,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\dein.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\deinSW.png
,deinem,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\dein.png,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\deinSW.png
irgend,,,,METACOM_Symbole\Symbole_PNG\PNG_ohne_Rahmen\Pronomen\irgend_irgendein.png,
